product_name,product_review,user_rating
Kentucky Brunch Brand Stout,"2016 Silver Wax. Aroma has whiskey, maple, toffee and umami. Taste has wood barrel, umami, dark fruit, maple and toffee. Bitter cacao and coffee aftertaste.",4.8
Kentucky Brunch Brand Stout,"The beer pours Pitch Black with a frothy tan head. The bottle gushed when I opened it. It smells and tastes of maple syrup, coffee, creams brûlée, vanilla, and warm bourbon. The feel is slick and smooth.",4.74
Kentucky Brunch Brand Stout,"Probably the smoothest beer I have ever had. Smelled better than it tasted. Lots of notes on the nose from vanilla to caramel/Maple to figs, but the taste didn't follow suit and it mostly being Maple supported by the others notes on the nose and barrel. No discernible alcohol present but the bourbon flavor was there from start to finish. Carbonation was lacking and would have helped the beer. Overall this was an excellent beer on par with Mexican Cake Reserva.",4.68
Kentucky Brunch Brand Stout,"Dark black, very thick, a little bit of tan head. Smells amazing - coffee and a little bit of maple jump out at you, along with chocolate and vanilla and other sweet smells. The taste is no letdown either, coffee is more up front, and maple is on the back end, with a lot of caramel / chocolate / dark fruit in the middle. Super thick mouthfeel with zero alcohol burn.",5
Kentucky Brunch Brand Stout,"Poured black as ink with thin ruby edges at 58 degrees; fast fizzy cinnamon brown head; no cap retention, ring or lace; medium legs on swirl. Strong maple nose with molasses and roast coffee grind right behind. Sweet maple syrup and molasses up front; bitter roast coffee; dark fruit - cherries and plums with chocolate middle; no booze; maple and coffee on backend. Thick almost chewy feel; heavy full body; rich velvety tongue coating; no barrel or astringency; warming from 12%; creamy feel/linger on tongue. Overall awesome; strong long lasting maple nose; main flavors are in harmony; subtle dark fruit and chocolate notes add layers complimenting the whole; no hint of whiskey or barrel notes; and the feel is superb; world class!",4.97
Kentucky Brunch Brand Stout,"she’s got heat....but man is she somethin nice! lots of barrel presence. maple goodness on the nose. thick and chewy. flavor is all barrel, booze and molasses. What a treat.",4.75
Kentucky Brunch Brand Stout,Amazing brew. The maple aroma pours out of this bottle upon cracking. The pour was pitch black with a nice brownish red head. Carbonation holds and the beer is thicc AF,5
Kentucky Brunch Brand Stout,"Finally got to try the white whale. Pours like syrup, smells like syrup. Seems like it should be just a perfect beer, but I don't think TG does coffee as well as the other best breweries. I definitely got some green pepper.",4.3
Kentucky Brunch Brand Stout,"Had this on tap at the 12-15-18 release in Decorah. The aroma on this was amazing and was a step above the flavor. This beer is a very good mix of coffee, barrel and maple but just shy of a perfect rating. Maybe because the expectations are so crazy high?",4.85
Kentucky Brunch Brand Stout,"Had this on tap At the KBBS release 12/15/18 pour was super dark, no head even when i attempted to swirl it. great aroma, lots of coffee and barrel. Taste was silky velvety smooth. Overall an amazing beer.",4.89
Kentucky Brunch Brand Stout,"Great beer, but didn't seem to be worth the hype. For a $1000 secondary market, should have been perfect, and just failed to miss the mark for me. The nose was incredible, but the taste almost had a metallic tinge to it.",4.3
Kentucky Brunch Brand Stout,"Batch one, 2013, Enjoyed at GAB bottle share",4.91
Kentucky Brunch Brand Stout,"Pouring with a thick viscosity that's damn near reduced balsamic, a blackish-brown gloss begins coating my companion's lips at first sip, like she's gone full goth. A uniform, dark mocha blanket builds over top of the void black body, but that quickly fizzles out, leaving nothing but brown staining legs that coat the glass with a swirl.",4.87
Kentucky Brunch Brand Stout,"This is the beer that I always thought Morning Delight should be - the maple syrup is prominent in the nose and taste, but not so forward and overwhelming that it becomes a bit cloying and unpleasant. The barrel is a bit subdued, but still comes through clearly.",5
Kentucky Brunch Brand Stout,A buddy of mine called me one night and said that I needed to come over and try this new beer he found. Man am I glad I did because it was and is the best stout I have ever had!,5
Kentucky Brunch Brand Stout,"its always an occasion to drink what is deemed on this website to be the best beer in the world. regardless of what one may think about how such rankings are figured, it is a treat to say the least. i remember when i was heady and westy 12 before that, times have changed! after a couple of narrowly missed opportunities to drink this one over the years, my man drlovemd87 came through in the clutch with this rarest of the rare bottle. my pour is as thick as paste, slick and black like crude oil, and without hardly any head to it, near still in appearance, shiny, almost gelatinous looking. the aroma and flavor are intense but unfortunately (to me) familiar, i wanted this to be strikingly different, at least from a quality standpoint, and as good as it all is, its not head and shoulders above all else, it might not even be my favorite barrel aged coffee stout i have had this year (shhh). a few things are immediately obvious to me. the first is that whatever barrels these were, they seem to have housed some excellent whiskey. its not more or less of it, nothing about the oak profile specifically, but the bourbon character itself seems obviously better than most of what else is out there, this i will grant. the second thing, is that saying something like this is objectively better than something else in its category that is notable and near perfect and all of that, is highly problematic, approximations and cloudy memories and nothing more than opinion. factually, this isnt that much better than any number of great beers in its field, and i will stand by that. i cant spend the whole time drinking this thinking about the merits of a ratings system i dont control or other beers i like better though, that would be a foolishly wasted opportunity to enjoy quite literally the best. its full of rich bourbon, heavy vanilla and maple syrup qualities, even the texture of maple syrup, tons of barrel char and earthy burnt dark grain and chocolate, and a well integrated high end coffee profile as well, in some ways quite simple, but impossibly mature and nuanced, enhanced magically by the whiskey, and with lingering sweet, bitter, raisin, cocoa, and bourbon character. its as good as they say it is, that is not my comment. my comment is that others are at this level too. i am enormously thankful to have been able to drink this one, especially without having to pay the absurd secondary market prices this is fetching. if you are considering dropping some coin for this on a forum or whatever, i would reconsider, not that this isnt awesome, but its likely that your local bottle shop or brewery has something comparable...",4.55
Kentucky Brunch Brand Stout,"Love the huge maple up front with balanced whiskey, subtle coffee, dark cocoa; semisweet, wee cinnamon, big whiskey, the coffee is superb. Yet bitter, bold, and some plum, too for flavors; luscious, creamy mouthfeel that lasts and lasts; bitter, sweet, whiskey, roasty finish.",4.93
Kentucky Brunch Brand Stout,"Jet black with minimal head and a shiny oily luster. The nose and taste is big coffee upfront and settles into more of a Maple and Bourbon focus as it warms, however all three of the Coffee, Maple, and Bourbon remain throughout and interact well as it warms. The mouthfeel is an absolute 5 from the chilly beginning though the warm finish, with smooth sticky oil-like viscosity. Easily meets the hype, never had better!",4.99
Kentucky Brunch Brand Stout,"Batch 3 (2016), Bottle #882. 12 oz bottle split three ways into TG tulips. ",5
Kentucky Brunch Brand Stout,2016 batch poured into a TG tulip. ,4.9
Kentucky Brunch Brand Stout,"Incredible. Really exceptional. Most certainly the best smelling beer I've ever had. My buddy kept the bottle and it still smells like we just opened it, months later. Fills the room. Mouthfeel is thick and fudgy, espresso notes with that amazing maple and cocoa. Can't wait to drink my other one!",5
Kentucky Brunch Brand Stout,"Wow. More than lucky to be able to split a bottle of this with their own brewmaster! Lives up to the hype, the flavors keep changing in your mouth and you taste a whole buffet of breakfast, bourbon barrel adds some sweetness. Sticky and coats your mouth and throat and the taste lingers for a long time. TG creates some magnificent beers.",4.9
Kentucky Brunch Brand Stout,L: Dinosaur blood with a chocolate milk head. Ultra thick lacing with great legs like T-Swizzle. ,4.95
Kentucky Brunch Brand Stout,"This beer turned out to be everything I wanted it to be. Great maple and coffee nose. Mouthfeel was viscous and coated the inside of my mouth, carrying those maple and coffee flavors with it. Delicious",4.71
