product_name,product_review,similarity_scores
Duck Duck Gooze,on tap at beavertown extravaganza aroma has some sweet malt and fruity lambic notes taste is tart fruity with floral yeast notes some honey clean malt and a hint of butterscotch really balanced and tasty,0.8006729197703476
Heady Topper,golden with slight amber hue good foamy head and rich hop aroma mostly pine with nutty malty notes same flavor profile piney lightly bitter and well balanced not especially complex,0.7952228394082664
Galaxy Dry Hopped Fort Point Pale Ale,112014  wow this is amazing incredible aromas of peach dank hops fruit poppin mildly sweet hoppy zesty fruity too flavors on the palate so good and balanced,0.7902101106987351
Barrel-Aged Abraxas,pours a pitch black coloration with a small creamy head smell is dominated by rich chocolate fudge and an intense cinnamon note as well as a strong earthy oaky peppery rye barrel note and hints of vanilla and chili taste follows the nose being dominated by chocolate fudge cinnamon and and a subtle but complex rye barrel character of earthy musty oaky peppery notes as well as lighter notes of roasted malt vanilla chili peppers and just a hint of dark fruits finishes with a light sweetness and some cinnamon and oaky spicy notes lingering in the aftertaste full creamy mouthfeel with a rich body and low carbonation,0.7746767724055973
Bourbon Barrel Oro Negro,black color with mocha head aroma has intense bourbon butterscotch and caramel with some spices on top taste is really complex with herb liquor booze spices chili cinnamon quite hot but really tasty and intense medium to full bodied medium carbonation really tasty but quite hot from the chillies and the bourbon,0.7726932657874745
Flora Plum,insanely tart and funky bright acidity lemon white grape ripe ripe berry quality hay oak barnyard character spicy pepper note just really complex funky sour qualities its aggressive but so perfectly executed,0.7725573504432783
Pseudo Sue,murky creamsicle orange in color poured with a short soapy white foam with medium low retention sharo citrus tangerine and under ripe pineapple with a light dankness medium malty aromas medium bodied with medium light carbonation creamy rich silky smooth feel followed by boozy warmth that gets a little prickly at the finish citrus and pineapple hop flavors with a solid malt backbone spicy bitterness slowly expands through the middle pine hop and sharp citrus notes on the backend along with fruity flavors and boozy warmth finished semidryly with light fruity notes and lingering pine hop bitterness light fruity notes and malt provide just enough balance with fantastic fresh complex hop character smooth creamy feel with pleasant bitterness and just a touch of dankness this was excellent,0.7716350340460846
Focal Banger,poured from can to tulip hazy yellow white head moderate lacing nose is fruity bready mango funk taste is more piney grassy and bitter some mild fruit and mineral notes medium body and carbonation,0.7714870683668072
Hop JuJu Imperial IPA,bright copper orange in color with perfect clarity poured with a short creamy white foam that reduced to soapy cap with medium low retention medium bodied with medium light carbonation boozy warmth intensifies through the middle and turned a little prickly toward the finish medium spicy hop aromas with light citrus notes and an underlying dankness medium malt and caramel aromas with and sweet boozy notes toward the end medium high spicy and citrus hop flavors up front with caramel maltiness medium high spicy and pine bitterness through the middle herbal and spicy hop flavors with expanding booziness and caramel malt notes from the middle to the end finished semidryly with lingering pine hop bitterness and sweet caramel malt notes well balances intense hop and malt character hop aromas and flavors are solid and bitterness is intense but not overwhelming a ne ipa this is not a great old school west coast ipa intense hoppy and tasty,0.7706318669513913
Juicy,hazy orange color with offwhite head aroma has tart fruits fermented notes herbs and a bit of fruit vinegar taste is balanced fruity mineral with bitter fruit pits and almonds medium body with low carbonation quite nice wild ale with lots of farmhouse funk and fruit flavors,0.7702305562665688
